peak_rank,peak_name,peak_elevation_ft,peak_range,route_name,is_standard,is_snow_climb,is_primary_for_peak,route_summits,difficulty,elevation_gain,distance,exposure,rockfall,route_finding,commitment,route_key,peak_id,peak_slug,road_difficulty
14,Mount Blue Sky,14268,Front Range,Mt. Blue Sky - West Ridge from Echo Lake,false,false,true,Mt. Blue Sky,Class 2,"5,600'",17 mi,Moderate,Moderate,Moderate,Considerable,evan1,10014,mount-blue-sky,0
14,Mount Blue Sky,14268,Front Range,Mt. Blue Sky - West Ridge from Guanella Pass,false,false,true,Mt. Blue Sky,Class 2,"3,100'",9.25 mi,Moderate,Considerable,Considerable,Considerable,evan3,10014,mount-blue-sky,0
15,Longs Peak,14259,Front Range,Longs Peak - Keyhole Route,true,false,true,Longs Peak,Class 3,"5,100'",14.5 mi,High,Considerable,Considerable,High,long1,10015,longs-peak,0
15,Longs Peak,14259,Front Range,Longs Peak - Keplinger Couloir,false,false,true,Longs Peak,Class 3,"5,900'",16 mi,High,Considerable,Considerable,Considerable,long5,10015,longs-peak,0
15,Longs Peak,14259,Front Range,Longs Peak - Loft Route,false,false,true,Longs Peak,Class 3,"5,300'",13 mi,High,Considerable,High,High,long2,10015,longs-peak,0
16,Mount Wilson,14256,San Juan Mountains,El Diente Peak - South Slopes,true,false,false,El Diente Peak,Class 3,"4,400'",12 mi,Considerable,Considerable,High,Considerable,eldi4,10016,mount-wilson,1
16,Mount Wilson,14256,San Juan Mountains,Mt. Wilson - Southwest Slopes,true,false,true,Mt. Wilson,Class 3,"4,400'",12.5 mi,High,Considerable,Considerable,Considerable,mwil6,10016,mount-wilson,1
16,Mount Wilson,14256,San Juan Mountains,Wilson Peak - Southwest Ridge,true,false,false,Wilson Peak,Class 3,"3,900'",10 mi,High,Considerable,Considerable,Considerable,wils1,10016,mount-wilson,3
16,Mount Wilson,14256,San Juan Mountains,Combo: Mt. Wilson + El Diente Traverse,false,false,false,COMBO,Class 4,500',1 mi,High,High,High,High,mwil5,10016,mount-wilson,1
16,Mount Wilson,14256,San Juan Mountains,El Diente Peak - North Buttress,false,false,false,El Diente Peak,Class 4,"3,200'",5 mi,High,Considerable,High,High,eldi8,10016,mount-wilson,1
16,Mount Wilson,14256,San Juan Mountains,El Diente Peak - North Slopes,false,false,false,El Diente Peak,Class 3,"5,000'",15 mi,Considerable,Considerable,High,Considerable,eldi3,10016,mount-wilson,1
16,Mount Wilson,14256,San Juan Mountains,Kilpacker Approach,false,false,false,OTHER,Class 1,800',6 mi,Low,Low,Low,Low,kilp0,10016,mount-wilson,1
16,Mount Wilson,14256,San Juan Mountains,Mt. Wilson - East Face,false,true,true,Mt. Wilson,Class 3 Moderate Snow,"4,900'",12 mi,High,Considerable,High,High,mwil7,10016,mount-wilson,0
16,Mount Wilson,14256,San Juan Mountains,Mt. Wilson - North Slopes,false,false,true,Mt. Wilson,Class 4,"5,100'",16 mi,High,High,High,Considerable,mwil2,10016,mount-wilson,1
16,Mount Wilson,14256,San Juan Mountains,Navajo Lake Approach,false,false,false,OTHER,Class 1,"2,000'",9.5 mi,Low,Low,Low,Low,nava0,10016,mount-wilson,1
16,Mount Wilson,14256,San Juan Mountains,Rock of Ages Approach,false,false,false,OTHER,Class 1,"2,800'",8.5 mi,Moderate,Low,Low,Low,silv0,10016,mount-wilson,3
16,Mount Wilson,14256,San Juan Mountains,Woods Lake Approach,false,false,false,OTHER,Class 1,"2,115'",9 mi,Low,Low,Low,Low,wood0,10016,mount-wilson,1
17,Mount Shavano,14230,Sawatch Range,Mt. Shavano - East Slopes,true,false,true,Mt. Shavano,Class 2,"4,500'",9.5 mi,Moderate,Moderate,Low,Moderate,shav1,10017,mount-shavano,2
17,Mount Shavano,14230,Sawatch Range,Tabeguache Peak - Via Mt. Shavano,true,false,false,Tabeguache Peak,Class 2,"5,600'",11.5 mi,Moderate,Moderate,Moderate,Considerable,tabe2,10017,mount-shavano,2
17,Mount Shavano,14230,Sawatch Range,Mt. Shavano - Angel of Shavano,false,true,true,Mt. Shavano,Class 2 Easy Snow,"4,600'",8 mi,Moderate,Moderate,Considerable,Moderate,shav4,10017,mount-shavano,2
